"LSOA21CD","BUA22CD"
"E01013099","E63000894"
"E01013163","E63001128"
"E01013274","E63001048"
"E01013325","E63001185"
"E01013302","E63001112"
"E01013119","E63000599"
"E01013122","E63000662"
"E01013125","E63000570"
"E01013436","E63000563"
"E01013391","E63000615"
"E01013450","E63000670"
"E01013407","E63000598"
"E01013421","E63000621"
"E01013422","E63000606"
"E01013244","E63001145"
"E01013246","E63000993"
"E01013250","E63001272"
"E01013253","E63001265"
"E01013268","E63001015"
"E01013342","E63000643"
"E01013792","E63002690"
"E01013787","E63002575"
"E01013789","E63002481"
"E01013790","E63002354"
"E01013794","E63002754"
"E01013804","E63002488"
"E01013805","E63002523"
"E01013522","E63002078"
"E01013615","E63002491"
"E01013617","E63002622"
"E01013911","E63002092"
"E01013912","E63002092"
"E01014014","E63999999"
"E01014015","E63999999"
"E01014017","E63003435"
"E01014173","E63002320"
"E01014204","E63002505"
"E01014018","E63003801"
"E01014019","E63003847"
"E01014020","E63999999"
"E01014128","E63002505"
"E01014135","E63999999"
"E01014024","E63003471"
"E01014026","E63003921"
"E01014027","E63003819"
"E01014028","E63003695"
"E01014030","E63003670"
"E01014031","E63004283"
"E01014268","E63001958"
"E01013990","E63003867"
"E01013991","E63003823"
"E01013992","E63003830"
"E01013998","E63003254"
"E01013999","E63003373"
"E01014000","E63999999"
"E01014001","E63999999"
"E01014004","E63999999"
"E01014008","E63003617"
"E01014009","E63999999"
"E01014032","E63999999"
"E01014049","E63004121"
"E01014050","E63004233"
"E01014051","E63003108"
"E01014052","E63999999"
"E01014053","E63999999"
"E01014054","E63999999"
"E01014055","E63003442"
"E01014056","E63003486"
"E01014057","E63004137"
"E01014058","E63004102"
"E01014059","E63999999"
"E01014060","E63003988"
"E01014082","E63003702"
"E01014096","E63003233"
"E01014097","E63003336"
"E01014099","E63004054"
"E01014101","E63999999"
"E01014109","E63002505"
"E01014576","E63005018"
"E01014374","E63005162"
"E01014375","E63005162"
"E01014695","E63005057"
"E01014744","E63005364"
"E01014382","E63005260"
"E01014383","E63005430"
"E01014385","E63005369"
"E01014392","E63005216"
"E01014394","E63005426"
"E01014418","E63005449"
"E01014443","E63005414"
"E01014335","E63001958"
"E01014766","E63005053"
"E01014770","E63005347"
"E01014774","E63005251"
"E01014962","E63999999"
"E01014847","E63005182"
"E01014848","E63005208"
"E01014849","E63005106"
"E01014921","E63005018"
"E01014929","E63004868"
"E01014870","E63005050"
"E01014884","E63004783"
"E01014890","E63004904"
"E01014891","E63004915"
"E01014989","E63004776"
"E01014994","E63004934"
"E01015142","E63006926"
"E01015253","E63006890"
"E01015473","E63004775"
"E01015190","E63006916"
"E01015548","E63004879"
"E01015580","E63004848"
"E01015942","E63004963"
"E01015950","E63004958"
"E01015630","E63002642"
"E01016255","E63005225"
"E01016072","E63999999"
"E01016103","E63005204"
"E01016269","E63005180"
"E01016324","E63005168"
"E01016287","E63004974"
"E01016326","E63005081"
"E01016288","E63004980"
"E01016327","E63005137"
"E01016029","E63005237"
"E01016301","E63005241"
"E01016302","E63005190"
"E01016309","E63005139"
"E01016311","E63005168"
"E01016640","E63005254"
"E01016656","E63005042"
"E01016688","E63005074"
"E01016691","E63005228"
"E01016764","E63003858"
"E01016768","E63003858"
"E01016770","E63003858"
"E01016784","E63003858"
"E01016801","E63003682"
"E01016802","E63003629"
"E01016699","E63005181"
"E01016705","E63005233"
"E01016539","E63004922"
"E01016577","E63005012"
"E01016578","E63004922"
"E01016579","E63004929"
"E01016581","E63004990"
"E01016494","E63004918"
"E01016531","E63004854"
"E01016824","E63003858"
"E01016843","E63003858"
"E01016847","E63003858"
"E01016592","E63004922"
"E01016611","E63005205"
"E01016867","E63006520"
"E01016900","E63006520"
"E01017379","E63003915"
"E01017406","E63003927"
"E01017412","E63003793"
"E01017423","E63003524"
"E01017424","E63003679"
"E01017426","E63003658"
"E01017427","E63003618"
"E01017323","E63006774"
"E01017651","E63004325"
"E01017286","E63006721"
"E01017290","E63999999"
"E01017296","E63006770"
"E01017297","E63006789"
"E01017299","E63006833"
"E01017325","E63006744"
"E01017432","E63003598"
"E01017540","E63999999"
"E01017542","E63003463"
"E01017543","E63003463"
"E01017545","E63003412"
"E01017658","E63004215"
"E01017669","E63004052"
"E01017674","E63004169"
"E01017496","E63003638"
"E01017547","E63003619"
"E01017442","E63003925"
"E01017684","E63004393"
"E01017694","E63004124"
"E01017696","E63004005"
"E01017561","E63004229"
"E01017577","E63004062"
"E01017351","E63006724"
"E01017353","E63006746"
"E01017451","E63003970"
"E01017452","E63003915"
"E01017512","E63003664"
"E01017464","E63003452"
"E01017465","E63003533"
"E01017478","E63003473"
"E01017715","E63004075"
"E01017717","E63003916"
"E01017718","E63003990"
"E01017744","E63004632"
"E01017750","E63004556"
"E01017752","E63004512"
"E01017759","E63004728"
"E01018085","E63002748"
"E01018035","E63003206"
"E01017866","E63004823"
"E01017869","E63004658"
"E01017871","E63004689"
"E01017875","E63004869"
"E01017878","E63004774"
"E01017886","E63004448"
"E01017814","E63004918"
"E01017766","E63004541"
"E01018011","E63003505"
"E01018020","E63002943"
"E01018024","E63002965"
"E01018090","E63002540"
"E01018044","E63002906"
"E01018093","E63002509"
"E01017818","E63004812"
"E01018049","E63003137"
"E01018095","E63002467"
"E01017779","E63004626"
"E01017783","E63004700"
"E01017784","E63004769"
"E01017785","E63004597"
"E01017791","E63004541"
"E01018068","E63002767"
"E01017834","E63004918"
"E01017835","E63004908"
"E01018113","E63003057"
"E01018115","E63003257"
"E01018125","E63003154"
"E01018126","E63003130"
"E01018127","E63002720"
"E01018128","E63002805"
"E01018156","E63002927"
"E01018157","E63002885"
"E01018189","E63003403"
"E01018243","E63003472"
"E01018247","E63003500"
"E01018252","E63003418"
"E01018254","E63003581"
"E01018268","E63003728"
"E01018270","E63003687"
"E01018275","E63003599"
"E01018277","E63003326"
"E01018289","E63003716"
"E01018290","E63003777"
"E01018291","E63003566"
"E01018297","E63003391"
"E01018300","E63003300"
"E01018196","E63003021"
"E01018199","E63003085"
"E01018203","E63003183"
"E01018220","E63003665"
"E01018225","E63003484"
"E01018226","E63003747"
"E01018228","E63003779"
"E01018238","E63003756"
"E01018515","E63001863"
"E01018411","E63001640"
"E01018417","E63001803"
"E01018418","E63001803"
"E01018428","E63001783"
"E01018431","E63001778"
"E01018449","E63001954"
"E01018450","E63001954"
"E01018308","E63001657"
"E01018360","E63001637"
"E01018481","E63999999"
"E01018484","E63001804"
"E01018498","E63001804"
"E01018323","E63001675"
"E01018372","E63001759"
"E01018373","E63001824"
"E01018377","K08000001"
"E01018536","E63001524"
"E01018335","E63001736"
"E01018349","E63001659"
"E01018777","E63999999"
"E01018780","E63006959"
"E01018781","E63006975"
"E01018783","E63006878"
"E01018785","E63006925"
"E01018816","E63007031"
"E01018818","E63007023"
"E01018825","E63006985"
"E01018570","E63001525"
"E01018572","E63001523"
"E01018580","E63001511"
"E01018668","E63001539"
"E01018828","E63007044"
"E01018670","E63001621"
"E01018829","E63999999"
"E01018881","E63007088"
"E01018830","E63007029"
"E01018721","E63001569"
"E01018887","E63007077"
"E01018902","E63007083"
"E01018903","E63007083"
"E01018905","E63007080"
"E01018908","E63007015"
"E01018912","E63007015"
"E01018922","E63999999"
"E01018923","E63006832"
"E01018924","E63999999"
"E01018925","E63999999"
"E01018926","E63006831"
"E01018675","E63001534"
"E01018722","E63001623"
"E01018941","E63006790"
"E01018943","E63006444"
"E01018944","E63006897"
"E01018945","E63999999"
"E01018951","E63006561"
"E01018952","E63999999"
"E01018953","E63999999"
"E01018956","E63006837"
"E01018962","E63006808"
"E01018965","E63006811"
"E01018966","E63999999"
"E01018967","E63006851"
"E01018968","E63999999"
