BUA22NM,pct_chg_perm_rate,bua_21_pop,bua_21_pop_counterfact,pct_chg_y,pct_chg_c,pct_chg_c_newcomers
Greater London,1.4880704674365572,8808271,10721932.597264348,0.0158523565138704,-1.7219989877996714e-4,0.012516847962419184
Oxford,1.262053634589035,171135,203861.31279852826,0.01409742088426537,-1.3623287555406135e-4,0.012516847962419184
Cambridge (Cambridge),1.6750067328682328,150544,182245.17742626418,0.015405256928260433,-1.626384387597214e-4,0.012516847962419184
Rural areas,NA,17072782,15932786.912510857,0.012516847962419184,NA,NA
