BUA22NM,pct_chg_perm_rate,bua_21_pop,bua_21_pop_counterfact,pct_chg_y,pct_chg_c,pct_chg_c_newcomers
Greater London,0.22838614197543491,8808271,9101975.80696655,0.0026274733872392237,-4.743641000535097e-6,0.006884901476587333
Birmingham,3.0568280542779878,1123562,1468396.6591469913,0.021644279552051008,-3.2063676246019135e-4,0.006884901476587333
Rural areas,NA,17072782,16784190.533886455,0.006884901476587333,NA,NA
