BUA22NM,pct_chg_perm_rate,bua_21_pop,bua_21_pop_counterfact,pct_chg_y,pct_chg_c,pct_chg_c_newcomers
Greater London,0.22838614197543491,8808271,9101975.80696655,0.0026274733872392237,-4.743641000535097e-6,0.0031283862171390237
Rural areas,NA,17072782,16881411.19303345,0.0031283862171390237,NA,NA
