BUA22NM,pct_chg_perm_rate,bua_21_pop,bua_21_pop_counterfact,pct_chg_y,pct_chg_c,pct_chg_c_newcomers
Greater London,1.4880704674365572,8808271,10721932.597264348,0.0158523565138704,-1.7219989877996714e-4,0.017077884406480226
Birmingham,7.216941676675819,1123562,1937690.7566624456,0.04456385528325715,-0.0013528801535794503,0.017077884406480226
Rural areas,NA,17072782,15539876.646073207,0.017077884406480226,NA,NA
