BUA22NM,bua_21_pop,bua_21_pop_counterfact,pct_chg_y,pct_chg_c,target_rate,pct_chg_pop
Greater London,8808271,9092351.889875691,0.25426223595373115,-4.4422863653969857e-4,0.020945354031075135,3.2251606458939714
Birmingham,1123562,1465604.1732734917,2.1488712541522568,-0.03160543215152103,0.020945354031075135,30.442661221498387
Leeds,537067,606690.0289548897,0.9799313573955056,-0.006588400671473535,0.020945354031075135,12.963564872704847
Sheffield,505453,533465.5552289761,0.43244795312268186,-0.0012845459196599086,0.020945354031075135,5.542069238678189
Liverpool,506863,545072.6750920772,0.5831206435371152,-0.0023348708669208252,0.020945354031075135,7.538462087798327
Manchester,469173,631942.4688850604,2.411225348314064,-0.03977245384416216,0.020945354031075135,34.69284653743084
Bristol,428579,428579,0,5.141520913238979e-14,0.020945354031075135,0
Leicester,405806,466687.251592843,1.1245490340304496,-0.008673921045564912,0.020945354031075135,15.002550872299318
Coventry,347816,437730.7350006592,1.8564648136171666,-0.02360346663387752,0.020945354031075135,25.851235998533475
Bradford,333809,351198.00742348173,0.4070760327959861,-0.0011382978276826105,0.020945354031075135,5.209268600751247
Greater London,8808271,9167312.804241056,0.32013562164024795,-7.04127541565546e-4,0.021945354031075136,4.076189347955525
Birmingham,1123562,1487320.2145778623,2.26913791498226,-0.03523346376493413,0.021945354031075136,32.375446533245366
Leeds,537067,612437.3192024688,1.0561280515443212,-0.007651618845909916,0.021945354031075136,14.033690247672794
Sheffield,505453,536020.1816702189,0.4708390266046724,-0.0015226223756082751,0.021945354031075136,6.047482490007763
Liverpool,506863,548141.6456617181,0.6283094821692843,-0.0027105194263110873,0.021945354031075136,8.143945338625644
Manchester,469173,644259.5425665225,2.5694975051867885,-0.04515045193287573,0.021945354031075136,37.318119876148565
Bristol,428579,428579,0,5.141520913238979e-14,0.021945354031075136,0
Leicester,405806,472986.32161080965,1.2330704458407695,-0.010426461739295134,0.021945354031075136,16.554787659820125
Coventry,347816,443577.0307863015,1.9646327737908071,-0.02642824738367084,0.021945354031075136,27.532094781810347
Bradford,333809,354458.58766109234,0.48133508963704796,-0.0015912297073394474,0.021945354031075136,6.18604880668057
Greater London,8808271,9242273.718606422,0.38551530503662323,-0.001020957232395624,0.022945354031075137,4.9272180500171
Birmingham,1123562,1509036.255882233,2.3877997864926384,-0.039005288662829256,0.022945354031075137,34.30823184499235
Leeds,537067,618184.6094500478,1.131669715521321,-0.008783986502112687,0.022945354031075137,15.10381562264072
Sheffield,505453,538574.8081114617,0.5090621365638356,-0.0017797311903047159,0.022945354031075137,6.552895741337315
