BUA22NM,pct_chg_perm_rate,bua_21_pop,bua_21_pop_counterfact,pct_chg_y,pct_chg_c,pct_chg_c_newcomers
Greater London,1.4880704674365572,8808271,10721932.597264348,0.0158523565138704,-1.7219989877996714e-4,0.012038318882557382
Rural areas,NA,17072782,15974685.40273565,0.012038318882557382,NA,NA
